year,regional_richness,local,local_richness,dataset_id,regional,timepoints
2012,57,LI7,41,larsen_2018a,Llyn Brianne,T23
2013,48,LI7,28,larsen_2018a,Llyn Brianne,T24
1985,56,LI8,25,larsen_2018a,Llyn Brianne,T1
1986,50,LI8,20,larsen_2018a,Llyn Brianne,T2
1987,43,LI8,21,larsen_2018a,Llyn Brianne,T3
1988,46,LI8,21,larsen_2018a,Llyn Brianne,T4
1989,41,LI8,16,larsen_2018a,Llyn Brianne,T5
1990,53,LI8,27,larsen_2018a,Llyn Brianne,T6
1992,57,LI8,23,larsen_2018a,Llyn Brianne,T7
1993,36,LI8,10,larsen_2018a,Llyn Brianne,T8
1995,52,LI8,22,larsen_2018a,Llyn Brianne,T9
1996,52,LI8,24,larsen_2018a,Llyn Brianne,T10
1997,53,LI8,24,larsen_2018a,Llyn Brianne,T11
1998,55,LI8,16,larsen_2018a,Llyn Brianne,T12
1999,53,LI8,21,larsen_2018a,Llyn Brianne,T13
2000,58,LI8,24,larsen_2018a,Llyn Brianne,T14
2001,54,LI8,17,larsen_2018a,Llyn Brianne,T15
2002,46,LI8,20,larsen_2018a,Llyn Brianne,T16
2003,43,LI8,18,larsen_2018a,Llyn Brianne,T17
2004,41,LI8,14,larsen_2018a,Llyn Brianne,T18
2005,46,LI8,15,larsen_2018a,Llyn Brianne,T19
2006,44,LI8,16,larsen_2018a,Llyn Brianne,T20
2007,51,LI8,18,larsen_2018a,Llyn Brianne,T21
2010,48,LI8,15,larsen_2018a,Llyn Brianne,T22
2012,57,LI8,19,larsen_2018a,Llyn Brianne,T23
2013,48,LI8,15,larsen_2018a,Llyn Brianne,T24
