copy pasted from supplementary .doc document,,,,,,,,,,
"Olyras theon H. Bates, 1866",2,0,low altitude,,,,,,,
"Opsiphanes boisduvallii Doubleday, [1849]",5,2,low altitude,,,,,,,
"Opsiphanes cassiae mexicana  Bristol, 1991",4,0,low altitude,,,,,,,
"Opsiphanes cassina fabricii  (Boisduval, 1870)",4,16,low altitude,,,,,,,
"Opsiphanes tamarindi tamarindi C. Felder & R. Felder, 1861",1,3,low altitude,,,,,,,
"Pareuptychia metaleuca metaleuca   (Boisduval, 1870)",33,31,low altitude,,,,,,,
"Pareuptychia ocirrhoe   (Fabricius, 1776)",184,113,low altitude,,,,,,,
"Philaethria diatonica   (Fruhstorfer, 1912)",3,28,low altitude,,,,,,,
"Phyciodes graphica vesta (W.H. Edwards, 1869)",1,0,low altitude,,,,,,,
"Pierella luna rubecula   Salvin & Godman, 1868",22,9,low altitude,,,,,,,
"Prepona laertes octavia Fruhstorfer, 1905",6,11,low altitude,,,,,,,
"Pteronymia artena artena   (Hewitson, [1855])",1,0,low altitude,,,,,,,
"Pteronymia cotytto (Guérin-Méneville, [1844])",14,0,low altitude,,,,,,,
"Pyrrhogyra edocla edocla   Doubleday, [1848]",2,2,low altitude,,,,,,,
"Pyrrhogyra otolais otolais H.W. Bates, 1864",3,2,low altitude,,,,,,,
"Siderone galanthis (Cramer, 1775)",0,1,low altitude,,,,,,,
"Siproeta epaphus epaphus   (Latreille, [1813])",6,19,low altitude,,,,,,,
"Siproeta stelenes biplagiata (Fruhstorfer, 19701)",5,0,low altitude,,,,,,,
"Smirna karwinskii Geyer, [1833]",16,0,low altitude,,,,,,,
"Taygetis mermeria griseomarginata  L. Miller, 1978",3,0,low altitude,,,,,,,
"Taygetis uncinata  Weymer, 1907",4,0,low altitude,,,,,,,
"Taygetis virgilia (Cramer, 1776)",1,0,low altitude,,,,,,,
"Tegosa anieta luka   Higgins, 1981",81,2,low altitude,,,,,,,
"Tegosa guatemalena   (H.W. Bates, 1864)",0,331,low altitude,,,,,,,
"Themenis laothoe  (Cramer, 1777)",4,0,low altitude,,,,,,,
"Tithorea harmonia hippothous  Godman & Salvin, 1879",7,0,low altitude,,,,,,,
"Vanessa cardui (Linnaeus, 1758)",1,0,low altitude,,,,,,,
"Yphthimoides renata (Stoll, 1780)",145,0,low altitude,,,,,,,
"Zaretis ellops   (Ménétriés, 1855)",3,8,low altitude,,,,,,,
"Eurytides calliste calliste  (H. Bates, 1864)",1,11,high altitude,,,,,,,
"Pterourus esperanza  Beutelspacher, 1975",2,11,high altitude,,,,,,,
"Pterourus garamas garamas (Geyer, [1829]",26,69,high altitude,,,,,,,
"Pterourus pilumnus  Boisduval, 1836",0,3,high altitude,,,,,,,
"Catasticta flisa flisa (Herrich-Schäffer, [1858])",0,62,high altitude,,,,,,,
"Catasticta nimbice nimbice  (Boisduval, 1836)",1,0,high altitude,,,,,,,
"Catasticta teutila flavifasciata Beutelspacher, 1986",21,12,high altitude,,,,,,,
"Dismorphia eunoe eunoe (Doubleday, 1844)",2,0,high altitude,,,,,,,
"Enantia jethys (Boisduval, 1836)",19,5,high altitude,,,,,,,
"Eurema mexicana mexicana (Boisduval, 1836)",7,69,high altitude,,,,,,,
"Eurema salome jamapa (Reakirt, 1866)",56,91,high altitude,,,,,,,
"Eurema xantochlora xantochlora (Kollar, 1850)",0,18,high altitude,,,,,,,
"Hesperocharis graphites avivolans (Butler, 1865)",5,30,high altitude,,,,,,,
"Leptophobia aripa elodia (Boisduval, 1836)",50,95,high altitude,,,,,species,1988,2010
"Lieinix nemesis atthis (Doubleday, 1842)",13,7,high altitude,,,,,,,
"Nathalis iole   Boisduval, 1836",8,108,high altitude,,,,,,,
