dataset_id,year,period,timepoints,regional,regional_richness,local,local_richness
larsen_2018a,2007,intermediate,21,Llyn Brianne,51,CI5,20
larsen_2018a,2010,intermediate,22,Llyn Brianne,48,CI5,21
larsen_2018a,2012,intermediate,23,Llyn Brianne,57,CI5,21
larsen_2018a,2013,last,24,Llyn Brianne,48,CI5,27
larsen_2018a,1985,first,1,Llyn Brianne,56,LI1,18
larsen_2018a,1986,intermediate,2,Llyn Brianne,50,LI1,22
larsen_2018a,1987,intermediate,3,Llyn Brianne,43,LI1,19
larsen_2018a,1988,intermediate,4,Llyn Brianne,46,LI1,17
larsen_2018a,1989,intermediate,5,Llyn Brianne,41,LI1,18
larsen_2018a,1990,intermediate,6,Llyn Brianne,53,LI1,17
larsen_2018a,1992,intermediate,7,Llyn Brianne,57,LI1,20
larsen_2018a,1993,intermediate,8,Llyn Brianne,36,LI1,13
larsen_2018a,1995,intermediate,9,Llyn Brianne,52,LI1,15
larsen_2018a,1996,intermediate,10,Llyn Brianne,52,LI1,23
larsen_2018a,1997,intermediate,11,Llyn Brianne,53,LI1,18
larsen_2018a,1998,intermediate,12,Llyn Brianne,55,LI1,13
larsen_2018a,1999,intermediate,13,Llyn Brianne,53,LI1,17
larsen_2018a,2000,intermediate,14,Llyn Brianne,58,LI1,21
larsen_2018a,2001,intermediate,15,Llyn Brianne,54,LI1,14
larsen_2018a,2002,intermediate,16,Llyn Brianne,46,LI1,17
larsen_2018a,2003,intermediate,17,Llyn Brianne,43,LI1,13
larsen_2018a,2004,intermediate,18,Llyn Brianne,41,LI1,9
larsen_2018a,2005,intermediate,19,Llyn Brianne,46,LI1,7
larsen_2018a,2006,intermediate,20,Llyn Brianne,44,LI1,14
larsen_2018a,2007,intermediate,21,Llyn Brianne,51,LI1,14
larsen_2018a,2010,intermediate,22,Llyn Brianne,48,LI1,15
larsen_2018a,2012,intermediate,23,Llyn Brianne,57,LI1,14
larsen_2018a,2013,last,24,Llyn Brianne,48,LI1,15
larsen_2018a,1985,first,1,Llyn Brianne,56,LI2,15
larsen_2018a,1986,intermediate,2,Llyn Brianne,50,LI2,17
larsen_2018a,1987,intermediate,3,Llyn Brianne,43,LI2,16
larsen_2018a,1988,intermediate,4,Llyn Brianne,46,LI2,17
larsen_2018a,1989,intermediate,5,Llyn Brianne,41,LI2,15
larsen_2018a,1990,intermediate,6,Llyn Brianne,53,LI2,17
larsen_2018a,1992,intermediate,7,Llyn Brianne,57,LI2,21
larsen_2018a,1993,intermediate,8,Llyn Brianne,36,LI2,8
larsen_2018a,1995,intermediate,9,Llyn Brianne,52,LI2,16
larsen_2018a,1996,intermediate,10,Llyn Brianne,52,LI2,15
larsen_2018a,1997,intermediate,11,Llyn Brianne,53,LI2,18
larsen_2018a,1998,intermediate,12,Llyn Brianne,55,LI2,16
larsen_2018a,1999,intermediate,13,Llyn Brianne,53,LI2,14
larsen_2018a,2000,intermediate,14,Llyn Brianne,58,LI2,18
larsen_2018a,2001,intermediate,15,Llyn Brianne,54,LI2,9
larsen_2018a,2002,intermediate,16,Llyn Brianne,46,LI2,18
larsen_2018a,2003,intermediate,17,Llyn Brianne,43,LI2,13
larsen_2018a,2004,intermediate,18,Llyn Brianne,41,LI2,8
larsen_2018a,2005,intermediate,19,Llyn Brianne,46,LI2,12
larsen_2018a,2006,intermediate,20,Llyn Brianne,44,LI2,14
larsen_2018a,2007,intermediate,21,Llyn Brianne,51,LI2,13
larsen_2018a,2010,intermediate,22,Llyn Brianne,48,LI2,15
larsen_2018a,2012,intermediate,23,Llyn Brianne,57,LI2,17
larsen_2018a,2013,last,24,Llyn Brianne,48,LI2,12
larsen_2018a,1985,first,1,Llyn Brianne,56,LI4,15
larsen_2018a,1986,intermediate,2,Llyn Brianne,50,LI4,17
larsen_2018a,1987,intermediate,3,Llyn Brianne,43,LI4,19
larsen_2018a,1988,intermediate,4,Llyn Brianne,46,LI4,21
larsen_2018a,1989,intermediate,5,Llyn Brianne,41,LI4,19
larsen_2018a,1990,intermediate,6,Llyn Brianne,53,LI4,19
larsen_2018a,1992,intermediate,7,Llyn Brianne,57,LI4,18
larsen_2018a,1993,intermediate,8,Llyn Brianne,36,LI4,10
larsen_2018a,1995,intermediate,9,Llyn Brianne,52,LI4,14
larsen_2018a,1996,intermediate,10,Llyn Brianne,52,LI4,20
larsen_2018a,1997,intermediate,11,Llyn Brianne,53,LI4,13
larsen_2018a,1998,intermediate,12,Llyn Brianne,55,LI4,19
larsen_2018a,1999,intermediate,13,Llyn Brianne,53,LI4,20
larsen_2018a,2000,intermediate,14,Llyn Brianne,58,LI4,23
larsen_2018a,2001,intermediate,15,Llyn Brianne,54,LI4,15
larsen_2018a,2002,intermediate,16,Llyn Brianne,46,LI4,15
larsen_2018a,2003,intermediate,17,Llyn Brianne,43,LI4,18
larsen_2018a,2004,intermediate,18,Llyn Brianne,41,LI4,18
larsen_2018a,2005,intermediate,19,Llyn Brianne,46,LI4,18
larsen_2018a,2006,intermediate,20,Llyn Brianne,44,LI4,21
larsen_2018a,2007,intermediate,21,Llyn Brianne,51,LI4,19
larsen_2018a,2010,intermediate,22,Llyn Brianne,48,LI4,17
larsen_2018a,2012,intermediate,23,Llyn Brianne,57,LI4,29
larsen_2018a,2013,last,24,Llyn Brianne,48,LI4,23
larsen_2018a,1985,first,1,Llyn Brianne,56,LI6,27
larsen_2018a,1986,intermediate,2,Llyn Brianne,50,LI6,33
larsen_2018a,1987,intermediate,3,Llyn Brianne,43,LI6,33
larsen_2018a,1988,intermediate,4,Llyn Brianne,46,LI6,31
larsen_2018a,1989,intermediate,5,Llyn Brianne,41,LI6,26
larsen_2018a,1990,intermediate,6,Llyn Brianne,53,LI6,23
larsen_2018a,1992,intermediate,7,Llyn Brianne,57,LI6,19
larsen_2018a,1993,intermediate,8,Llyn Brianne,36,LI6,22
larsen_2018a,1995,intermediate,9,Llyn Brianne,52,LI6,39
larsen_2018a,1996,intermediate,10,Llyn Brianne,52,LI6,25
larsen_2018a,1997,intermediate,11,Llyn Brianne,53,LI6,35
larsen_2018a,1998,intermediate,12,Llyn Brianne,55,LI6,25
larsen_2018a,1999,intermediate,13,Llyn Brianne,53,LI6,29
larsen_2018a,2000,intermediate,14,Llyn Brianne,58,LI6,28
larsen_2018a,2001,intermediate,15,Llyn Brianne,54,LI6,38
larsen_2018a,2002,intermediate,16,Llyn Brianne,46,LI6,27
larsen_2018a,2003,intermediate,17,Llyn Brianne,43,LI6,24
larsen_2018a,2004,intermediate,18,Llyn Brianne,41,LI6,17
larsen_2018a,2005,intermediate,19,Llyn Brianne,46,LI6,27
larsen_2018a,2006,intermediate,20,Llyn Brianne,44,LI6,23
larsen_2018a,2007,intermediate,21,Llyn Brianne,51,LI6,24
larsen_2018a,2010,intermediate,22,Llyn Brianne,48,LI6,27
larsen_2018a,2012,intermediate,23,Llyn Brianne,57,LI6,33
larsen_2018a,2013,last,24,Llyn Brianne,48,LI6,31
larsen_2018a,1985,first,1,Llyn Brianne,56,LI7,37
larsen_2018a,1986,intermediate,2,Llyn Brianne,50,LI7,38
larsen_2018a,1987,intermediate,3,Llyn Brianne,43,LI7,30
larsen_2018a,1988,intermediate,4,Llyn Brianne,46,LI7,36
larsen_2018a,1989,intermediate,5,Llyn Brianne,41,LI7,31
larsen_2018a,1990,intermediate,6,Llyn Brianne,53,LI7,38
larsen_2018a,1992,intermediate,7,Llyn Brianne,57,LI7,43
larsen_2018a,1993,intermediate,8,Llyn Brianne,36,LI7,21
larsen_2018a,1995,intermediate,9,Llyn Brianne,52,LI7,28
